Vendor Name,Retailer Name,Retailer VendorID,Vendor Store Number,Retailer Store Number,Fintech Process Date,Invoice Date,Invoice DueDate,Invoice Number,Invoice Amount,Invoice Item Count,PO Number,PO Date,Reference Invoice Number,Product Number,Quantity,Invoice Line Item Cost,Unit Of Measure,Product Volume,Case UPC,Product Description,Discount Adjustment Total,DepositAdjustmentTotal,Miscellaneous Adjustment Total,Tax Adjustment Total,Delivery Adjustment Total,Extended Price,Packs Per Case,Clean UPC,Pack UPC,Product Class,GL Code,Expanded StoreID,Units Per Pack
"Monsieur Touton Selection, (MD) Ltd.","Root Retail LLC",,"04S68D","000001","09/22/2025","09/19/2025","10/15/2025","MD442561","524.0","4",,,,"11773-24","1","96.0","CA",,"015643412356","LES DAUPHINS COTES DU RHONE RO","0","0","0","0","0","96.0","0",,"015643412356","Wine","Wine",,"0"
"Monsieur Touton Selection, (MD) Ltd.","Root Retail LLC",,"04S68D","000001","09/22/2025","09/19/2025","10/15/2025","MD442561","524.0","4",,,,"12604-23","1","112.0","CA",,"015643496721","THE LITTLE SHEEP SAUVIGNON BLA","0","0","0","0","0","112.0","0",,"015643496721","Wine","Wine",,"0"
"Monsieur Touton Selection, (MD) Ltd.","Root Retail LLC",,"04S68D","000001","09/22/2025","09/19/2025","10/15/2025","MD442561","524.0","4",,,,"72847-23","1","136.0","CA",,"015643854583","Terrebonne Estate - Pinot Noir","0","0","0","0","0","136.0","0",,"015643854583","Wine","Wine",,"0"
"Monsieur Touton Selection, (MD) Ltd.","Root Retail LLC",,"04S68D","000001","09/22/2025","09/19/2025","10/15/2025","MD442561","524.0","4",,,,"999-23","1","180.0","CA",,"747154100452","SANTIAGO RUIZ RIAS BAIXAS WHIT","0","0","0","0","0","180.0","0",,"747154100452","Wine","Wine",,"0"
